movie_id,release_year,release_month,release_day
862,1995,Octubre,Lunes
8844,1995,Diciembre,Viernes
15602,1995,Diciembre,Viernes
31357,1995,Diciembre,Viernes
11862,1995,Febrero,Viernes
949,1995,Diciembre,Viernes
11860,1995,Diciembre,Viernes
45325,1995,Diciembre,Viernes
9091,1995,Diciembre,Viernes
710,1995,Noviembre,Jueves
9087,1995,Noviembre,Viernes
12110,1995,Diciembre,Viernes
21032,1995,Diciembre,Viernes
10858,1995,Diciembre,Viernes
1408,1995,Diciembre,Viernes
524,1995,Noviembre,Miércoles
4584,1995,Diciembre,Miércoles
5,1995,Diciembre,Sábado
9273,1995,Noviembre,Viernes
11517,1995,Noviembre,Martes
8012,1995,Octubre,Viernes
1710,1995,Octubre,Viernes
9691,1995,Octubre,Viernes
12665,1995,Octubre,Viernes
451,1995,Octubre,Viernes
16420,1995,Diciembre,Viernes
9263,1995,Octubre,Viernes
17015,1995,Septiembre,Miércoles
902,1995,Mayo,Martes
37557,1995,Abril,Domingo
9909,1995,Agosto,Viernes
63,1995,Diciembre,Viernes
78802,1996,Septiembre,Miércoles
9598,1995,Julio,Martes
47018,1995,Noviembre,Miércoles
687,1995,Diciembre,Viernes
139405,1995,Octubre,Viernes
33689,1995,Noviembre,Viernes
9603,1995,Julio,Miércoles
34615,1995,Diciembre,Viernes
31174,1995,Diciembre,Viernes
11443,1995,Octubre,Viernes
35196,1995,Diciembre,Viernes
9312,1995,Agosto,Viernes
577,1995,Mayo,Sábado
11861,1995,Octubre,Viernes
807,1995,Septiembre,Viernes
10530,1995,Junio,Miércoles
8391,1995,Mayo,Viernes
629,1995,Julio,Miércoles
117164,1994,Noviembre,Martes
11448,1995,Septiembre,Miércoles
49133,1994,Enero,Sábado
26441,1995,Septiembre,Viernes
97406,1995,Mayo,Viernes
124057,1997,Julio,Martes
9089,1995,Noviembre,Jueves
11010,1994,Septiembre,Jueves
99040,1995,Septiembre,Viernes
11359,1995,Julio,Viernes
17182,1996,Enero,Viernes
2054,1995,Diciembre,Viernes
10607,1996,Enero,Viernes
19760,1996,Enero,Viernes
9536,1996,Enero,Viernes
11525,1996,Enero,Viernes
40628,1995,Octubre,Domingo
4482,1995,Febrero,Miércoles
10634,1995,Abril,Miércoles
755,1996,Enero,Viernes
11859,1995,Noviembre,Viernes
28387,1995,Octubre,Viernes
48750,1995,Marzo,Miércoles
20927,1996,Enero,Viernes
36929,1996,Enero,Viernes
9102,1995,Septiembre,Viernes
124626,1995,Febrero,Sábado
27526,1995,Noviembre,Miércoles
9623,1996,Febrero,Viernes
46785,1995,Enero,Domingo
400,1995,Diciembre,Viernes
880,1995,Septiembre,Martes
146599,1996,Enero,Viernes
188588,1995,Noviembre,Miércoles
8447,1995,Septiembre,Domingo
10534,1996,Febrero,Viernes
17414,1996,Enero,Viernes
13997,1996,Febrero,Jueves
2086,1995,Noviembre,Miércoles
61548,1995,Septiembre,Jueves
9095,1996,Febrero,Viernes
