movie_id,popularity,vote_count,vote_average
862,21.946943,5415.0,7.7
8844,17.015539,2413.0,6.9
15602,11.7129,92.0,6.5
31357,3.859495,34.0,6.1
11862,8.387519,173.0,5.7
949,17.924927,1886.0,7.7
11860,6.677277,141.0,6.2
45325,2.561161,45.0,5.4
9091,5.23158,174.0,5.5
710,14.686036,1194.0,6.6
9087,6.318445,199.0,6.5
12110,5.430331,210.0,5.7
21032,12.140733,423.0,7.1
10858,5.092,72.0,7.1
1408,7.284477,137.0,5.7
524,10.137389,1343.0,7.8
4584,10.673167,364.0,7.2
5,9.026586,539.0,6.5
9273,8.205448,1128.0,6.1
11517,7.337906,224.0,5.4
8012,12.669608,305.0,6.4
1710,10.701801,199.0,6.5
9691,11.065939,394.0,6.0
12665,12.133094,143.0,6.3
451,10.332025,365.0,7.1
16420,1.845899,33.0,7.0
9263,8.681325,91.0,6.6
17015,2.228434,36.0,7.4
902,9.822423,308.0,7.6
37557,1.100915,17.0,6.5
9909,9.481338,249.0,6.4
63,12.297305,2470.0,7.4
78802,0.745542,4.0,6.8
9598,14.404764,756.0,6.0
47018,1.493361,16.0,6.4
687,6.891317,350.0,7.3
139405,0.114469,2.0,3.5
33689,7.777735,149.0,6.1
9603,9.882383,828.0,6.9
34615,0.894647,13.0,6.7
31174,4.561387,50.0,6.9
11443,9.87957,80.0,6.6
35196,10.979269,30.0,6.3
9312,10.870138,452.0,5.4
577,10.448481,177.0,6.7
11861,4.485958,38.0,6.5
807,18.45743,5915.0,8.1
10530,13.280069,1509.0,6.7
8391,3.302524,10.0,5.9
629,16.302466,3334.0,8.1
117164,0.595949,3.0,6.3
11448,15.899134,145.0,6.7
49133,1.361286,11.0,7.7
26441,5.982764,41.0,5.2
97406,4.093443,15.0,6.1
124057,0.307075,1.0,3.0
9089,8.416802,39.0,6.3
11010,10.168437,181.0,7.6
99040,0.120789,2.0,6.5
11359,10.673296,136.0,5.9
17182,4.733526,65.0,5.8
2054,7.137117,115.0,6.9
10607,11.700115,192.0,6.2
19760,2.174487,14.0,4.5
9536,6.387469,110.0,4.4
11525,2.49535,32.0,2.8
40628,4.046208,11.0,5.4
4482,2.518051,43.0,6.0
10634,14.56965,513.0,7.0
755,15.339153,1644.0,6.9
11859,5.912223,54.0,4.1
28387,3.367276,36.0,7.0
48750,1.479446,8.0,6.6
20927,10.412194,27.0,5.1
36929,2.936443,16.0,3.9
9102,12.758848,154.0,6.1
124626,0.133893,3.0,7.3
27526,5.756462,74.0,6.1
9623,6.010579,91.0,5.5
46785,1.196256,20.0,7.5
400,4.486179,87.0,6.7
880,2.030174,26.0,7.2
146599,0.252287,2.0,4.5
188588,0.531159,0.0,0.0
8447,2.15166,17.0,6.3
10534,9.568604,86.0,6.3
17414,4.814825,59.0,5.1
13997,8.963037,124.0,6.0
2086,6.848591,190.0,6.1
61548,0.411424,3.0,6.7
9095,12.866139,77.0,5.7
12158,9.071127,113.0,4.5
9283,4.670562,103.0,6.6
9208,14.957626,459.0,5.7
40154,0.513391,6.0,7.5
406,12.108196,695.0,7.9
45549,2.657647,13.0,5.6
63076,0.638211,4.0,6.8
11062,4.807223,67.0,6.0
13685,6.904831,285.0,6.8
47475,3.329264,16.0,3.3
2045,2.464425,22.0,5.3
9614,9.592265,767.0,6.5
688,5.951077,397.0,7.3
11907,1.015068,5.0,5.1
10874,6.902423,93.0,6.5
89333,0.976707,2.0,7.0
96357,0.001346,0.0,0.0
197,20.755149,3404.0,7.7
103,14.092713,2632.0,8.1
33542,12.314278,245.0,6.5
43566,2.938293,37.0,5.8
71754,0.372697,2.0,7.5
43612,1.254885,23.0,7.0
51352,0.243986,4.0,7.3
16934,6.178497,19.0,6.9
10324,2.891918,11.0,5.4
78406,1.522412,7.0,5.1
55731,1.317878,21.0,5.2
32119,0.86539,7.0,7.0
11066,6.506983,139.0,5.4
11104,6.778979,249.0,7.9
37975,1.702639,29.0,6.8
2074,5.579088,66.0,6.3
27793,6.252377,105.0,4.4
44284,0.406754,3.0,4.3
290157,0.001178,0.0,0.0
110972,0.699066,2.0,7.0
32622,2.197439,9.0,5.6
73067,0.637554,4.0,5.4
11863,11.418917,45.0,5.1
55475,0.291021,1.0,5.5
124636,0.001838,0.0,0.0
9101,5.184977,110.0,5.6
123360,0.276401,2.0,6.5
5757,0.540436,2.0,3.8
39428,0.370342,5.0,7.2
124639,0.001205,0.0,0.0
9302,3.402749,51.0,5.9
11000,6.49968,303.0,6.7
249882,0.918504,2.0,7.0
16388,2.039196,23.0,6.3
9737,9.262184,1729.0,6.5
30765,2.375865,31.0,5.0
10474,7.415144,472.0,7.2
22279,0.922958,11.0,6.0
30157,1.759012,21.0,6.5
568,18.761467,1637.0,7.3
11780,10.193549,151.0,6.5
34996,3.137285,46.0,6.4
414,13.321354,1529.0,5.2
649,10.142662,163.0,7.3
1873,2.04189,21.0,6.4
5894,11.528147,28.0,6.8
1775,5.391556,57.0,5.9
8839,12.812539,1045.0,6.0
20649,4.558992,69.0,6.8
10329,7.260574,214.0,5.0
8963,8.657365,508.0,7.0
26564,3.620388,71.0,7.6
8068,6.950458,898.0,6.8
8512,4.646132,88.0,6.3
1572,15.138855,2094.0,6.9
13552,7.120806,57.0,5.6
259209,0.523575,0.0,0.0
6520,15.178338,319.0,5.9
9073,7.575098,130.0,5.5
10428,14.810519,406.0,6.2
17447,3.196456,19.0,6.5
9886,11.715868,380.0,5.5
9482,8.184815,643.0,5.4
19326,3.676921,34.0,4.0
9344,4.877872,280.0,6.8
9071,10.058329,64.0,7.2
8973,4.102409,87.0,5.9
15730,0.354014,7.0,7.0
47608,2.624771,27.0,5.5
2293,8.25547,400.0,6.8
9070,7.024227,153.0,5.2
68274,1.01115,10.0,5.6
48787,2.466066,36.0,6.4
34574,7.720056,12.0,5.9
1642,13.304342,359.0,5.6
11472,8.482834,171.0,5.5
36196,1.165039,14.0,5.8
11980,10.187623,139.0,6.4
58372,0.119713,1.0,10.0
32646,8.180047,62.0,7.2
10533,6.752119,111.0,5.5
56088,0.159596,2.0,5.3
10802,17.502375,261.0,4.9
10149,5.552946,115.0,7.2
18402,3.743212,60.0,5.7
9348,13.492845,457.0,5.5
139408,0.913522,6.0,6.6
281,11.223055,334.0,6.8
5967,8.133881,119.0,7.6
79593,1.820419,9.0,4.6
47939,11.002046,18.0,6.1
36834,4.546552,112.0,6.5
9090,7.653446,117.0,6.3
3512,7.490247,217.0,5.6
52856,2.881689,9.0,6.4
77350,0.786023,6.0,6.0
9560,9.715639,168.0,6.5
9804,16.885184,1017.0,5.9
31611,1.834099,25.0,5.1
65796,8.922139,27.0,5.9
49805,3.727644,11.0,6.0
26258,3.287036,29.0,4.9
50797,2.486073,35.0,6.7
19155,3.525649,45.0,7.7
76,11.304979,984.0,7.7
11017,6.638116,464.0,6.2
37141,2.761837,27.0,4.7
9382,3.030309,48.0,6.3
6715,2.686342,58.0,7.2
18256,2.26977,40.0,5.8
22625,2.605521,30.0,6.5
2292,10.513367,769.0,7.4
1909,7.438934,184.0,6.3
8984,11.812244,217.0,5.9
61813,0.155859,1.0,2.5
4954,9.579155,91.0,5.1
62488,0.710671,9.0,5.3
10531,5.484156,92.0,7.1
11929,5.8025,183.0,7.1
8467,9.844558,1894.0,6.5
10451,4.860016,76.0,7.5
20156,5.378467,64.0,6.5
18395,4.322726,28.0,4.3
522,11.720358,639.0,7.3
397,9.146544,179.0,6.2
10525,16.236745,38.0,6.1
27985,2.657337,27.0,5.6
15789,10.177977,404.0,6.7
27303,8.182165,24.0,5.0
21183,4.953936,48.0,6.6
10954,8.935058,20.0,5.9
47867,0.398924,4.0,3.0
43475,0.090452,2.0,5.0
72031,1.012197,9.0,5.4
14275,9.47666,91.0,7.7
1024,9.438042,299.0,6.9
17207,2.688562,17.0,6.0
13701,7.983666,90.0,6.9
14819,9.546707,97.0,6.0
32631,2.756986,25.0,6.0
11777,5.146352,112.0,5.9
628,11.970205,1558.0,7.2
87729,1.596058,10.0,5.2
18713,0.748846,10.0,4.8
6280,6.710215,381.0,4.7
9061,9.195256,124.0,6.0
37108,5.874511,40.0,4.3
6071,7.797512,83.0,5.7
11,42.149697,6778.0,8.1
9587,9.774994,222.0,7.0
19101,7.731725,207.0,7.4
49980,0.84508,14.0,7.4
17961,1.948315,22.0,6.6
18183,4.126083,70.0,6.6
4476,12.199047,636.0,7.2
11008,9.253362,164.0,6.1
47504,1.861292,31.0,6.4
32325,1.788829,9.0,5.7
43742,3.290192,11.0,4.3
28313,7.698526,28.0,6.4
11318,4.81307,67.0,6.7
3036,14.287753,272.0,6.1
40490,2.558118,40.0,5.1
24070,2.899608,37.0,5.2
8986,3.770115,49.0,5.6
10510,5.831622,199.0,6.4
17402,1.137266,7.0,5.6
38722,3.121288,11.0,7.0
8438,9.518564,140.0,6.9
11593,2.891269,56.0,7.0
1945,5.930957,128.0,6.1
39310,0.629955,7.0,6.9
109560,0.004537,0.0,0.0
56428,0.426952,4.0,4.0
63105,1.466491,10.0,4.6
131957,0.769522,4.0,7.4
241,11.226856,927.0,6.9
9058,4.936761,92.0,6.4
527,4.025276,106.0,7.6
18220,6.448039,32.0,4.6
6950,13.676444,522.0,6.4
101,20.477329,4293.0,8.2
63020,1.433544,9.0,6.6
2307,0.463307,2.0,7.0
680,140.950236,8670.0,8.3
41478,7.160149,6.0,6.4
25296,1.638622,9.0,6.1
40156,1.881932,32.0,6.4
11450,7.772505,262.0,7.1
30304,1.296912,5.0,7.4
10452,4.405405,67.0,7.0
12106,7.54701,431.0,6.2
161495,3.395867,7.0,6.4
3586,6.259433,33.0,5.3
110,7.832755,246.0,7.8
108,8.843517,311.0,7.7
109,6.5898,218.0,7.3
159185,0.078257,2.0,7.0
